Country Name,Country Code,Region,Income group,Year,Energy use (kg of oil equivalents per capita), Population ,CO2 emissions (metric tons per capita),Renewable energy consumption (% of energy),"GDP per capita, PPP",Electric power consumption (kWh per capita),Access to electricity (% of population),Forest area (% of land)
Bosnia and Herzegovina,BIH,Europe & Central Asia,Upper middle income,1990,1572.24569," 4,463,422 ",,7.300098695,,2937.656354,96.88565064,43.1640625
Mongolia,MNG,East Asia & Pacific,Lower middle income,1990,1560.47973," 2,184,145 ",4.573372189,1.89262443,3310.861431,1489.369982,68.11283875,8.069208785
"Hong Kong SAR, China",HKG,East Asia & Pacific,High income,1990,1510.633886," 5,704,500 ",4.791623806,1.073856299,17434.29402,4177.929705,100,
Antigua and Barbuda,ATG,Latin America & Caribbean,High income,1990,1481.760705," 66,696 ",4.23352225,0,10587.59341,,85.12319946,23.40909134
Mexico,MEX,Latin America & Caribbean,Upper middle income,1990,1448.968363," 85,357,874 ",3.730500739,14.41330169,6003.536665,1165.399223,94.26457214,35.88569665
Argentina,ARG,Latin America & Caribbean,High income,1990,1407.38675," 32,729,739 ",3.426481983,8.922907467,7325.682567,1299.552068,90.64082336,12.7135335
North Macedonia,MKD,Europe & Central Asia,Upper middle income,1990,1240.934903," 1,996,228 ",,2.410188215,5531.935632,2667.530963,94.33944702,35.86315376
Gabon,GAB,Sub-Saharan Africa,Upper middle income,1990,1240.695349," 952,212 ",4.725217704,78.28066537,12603.95962,916.8126426,64.61288452,85.38052548
Barbados,BRB,Latin America & Caribbean,High income,1990,1236.63776," 260,374 ",4.126491124,18.94217652,9147.802433,,,14.65116323
"Iran, Islamic Rep.",IRN,Middle East & North Africa,Upper middle income,1990,1233.037063," 56,226,185 ",3.743163403,1.238359584,7363.390293,943.2260076,95.57950592,5.572373812
Malaysia,MYS,East Asia & Pacific,Upper middle income,1990,1210.396799," 18,038,321 ",3.137365778,11.98054361,6819.885822,1156.814983,93.95503998,68.10531122
Jamaica,JAM,Latin America & Caribbean,Upper middle income,1990,1148.657189," 2,424,242 ",3.106957969,7.633355058,4710.487184,866.2501516,70.334586,31.8190218
Iraq,IRQ,Middle East & North Africa,Upper middle income,1990,1147.367638," 17,469,005 ",2.730149885,1.596326357,7446.875137,1305.168783,93.48020935,1.838260512
Chile,CHL,Latin America & Caribbean,High income,1990,1057.938027," 13,242,132 ",2.515810521,34.02687057,4507.114744,1240.661247,92.257427,20.52769667
Tajikistan,TJK,Europe & Central Asia,Low income,1990,1004.546411," 5,283,728 ",,29.63775189,2366.483668,3358.613464,96.6034317,2.915118605
Turkey,TUR,Europe & Central Asia,Upper middle income,1990,977.6642424," 53,921,699 ",2.705007348,24.51077696,6146.258388,929.699934,88.78113556,12.5021114
Brazil,BRA,Latin America & Caribbean,Upper middle income,1990,938.7675483," 149,352,145 ",1.398620609,49.86467493,6686.227659,1457.347666,87.475116,65.40988785
Jordan,JOR,Middle East & North Africa,Upper middle income,1990,919.5016433," 3,560,582 ",2.921791718,2.765358064,4061.075701,935.2403624,96.8,1.10494107
Zimbabwe,ZWE,Sub-Saharan Africa,Low income,1990,913.0081342," 10,183,113 ",1.536212158,63.97640941,1866.984094,886.5658272,30.35783196,57.29352462
Botswana,BWA,Sub-Saharan Africa,Upper middle income,1990,884.1587852," 1,377,912 ",1.9613582,47.58463784,5131.423474,718.4783934,6.043880463,24.20552997
Algeria,DZA,Middle East & North Africa,Upper middle income,1990,856.1588758," 25,912,367 ",2.970409071,0.177228303,6616.408352,528.4349361,98.27137756,0.69990847
Syrian Arab Republic,SYR,Middle East & North Africa,Low income,1990,840.8455098," 12,446,171 ",3.001677865,2.360017397,,688.80622,80.54584503,2.024159321
Albania,ALB,Europe & Central Asia,Upper middle income,1990,813.2556955," 3,286,542 ",1.678106654,25.51808763,2608.926433,552.2521848,100,28.78832072
China,CHN,East Asia & Pacific,Upper middle income,1990,766.9953294," 1,135,185,000 ",2.151570906,34.08361405,986.5683762,510.6198549,92.21601105,16.73800695
Thailand,THA,East Asia & Pacific,Upper middle income,1990,741.2827119," 56,582,821 ",1.604831986,33.63913092,4298.39894,709.2435352,75.89871216,27.41294604
Paraguay,PRY,Latin America & Caribbean,Upper middle income,1990,729.219302," 4,213,742 ",0.513446243,78.50645262,5139.119722,505.4889455,80.42372894,53.25195067
Uruguay,URY,Latin America & Caribbean,High income,1990,723.8459686," 3,109,989 ",1.284044091,44.81247732,6360.382528,1244.377392,96.29027557,4.55833612
Lebanon,LBN,Middle East & North Africa,Upper middle income,1990,722.8573564," 2,703,016 ",3.038857336,11.34168091,3742.37535,517.9399604,97.90869904,12.8054741
Colombia,COL,Latin America & Caribbean,Upper middle income,1990,706.7843269," 34,271,565 ",1.673025787,38.25119669,4825.114339,841.8640935,89.9,58.05948626
Nigeria,NGA,Sub-Saharan Africa,Lower middle income,1990,697.192079," 95,269,988 ",0.411426136,87.77597276,2170.889819,87.02635714,27.3,18.92245023
Zambia,ZMB,Sub-Saharan Africa,Lower middle income,1990,678.851657," 8,027,253 ",0.304698133,82.98273423,1513.668718,762.7765065,13.9,71.0259756
Mauritius,MUS,Sub-Saharan Africa,Upper middle income,1990,629.3820689," 1,058,775 ",1.381911171,47.06782744,4774.352414,670.5862908,99.23442078,20.24630467
Ecuador,ECU,Latin America & Caribbean,Upper middle income,1990,619.492232," 10,218,091 ",1.646869557,24.19854913,4829.416723,481.3032102,88.94174957,52.84947843
Panama,PAN,Latin America & Caribbean,High income,1990,603.3478632," 2,471,009 ",1.120426919,43.58944565,5076.963602,833.2628493,70.19,67.79661017
Tunisia,TUN,Middle East & North Africa,Lower middle income,1990,600.8810857," 8,232,797 ",1.611506515,14.48023914,3629.1202,632.3488846,87.99334717,4.138774459
Belize,BLZ,Latin America & Caribbean,Upper middle income,1990,566.3389353," 187,552 ",1.66191243,38.0116327,3306.538673,,87.96473694,70.84743662
"Egypt, Arab Rep.",EGY,Middle East & North Africa,Lower middle income,1990,561.7428103," 57,412,215 ",1.322777217,8.50246618,3727.149688,662.7335315,93.95646668,0.044201115
